description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
"MAPLE & BROWN SUGAR STEEL CUT INSTANT OATMEAL, MAPLE & BROWN SUGAR",45.0,75.56,0.0,378.0,11.1,11.11,20.0,5.56,0.0,0.0,0.667
SILLY CIRCLES SWEETENED MULTI-GRAIN CEREAL,39.0,84.62,0.0,385.0,2.6,5.13,38.46,3.85,21.0,38.5,1.282
"RICE POCKETS OVEN TOASTED RICE CEREAL, RICE POCKETS",41.0,85.37,0.0,366.0,2.4,7.32,7.32,0.0,20.0,14.6,1.22
WHEAT & BRAN CEREAL WITH RAISINS,59.0,77.97,0.0,339.0,13.6,8.47,27.12,1.69,169.0,0.0,0.847
"OATS & MORE, TOASTED MULTI-GRAIN CEREAL, HONEY OAT CLUSTERS, HONEY OAT CLUSTERS",32.0,84.38,0.0,375.0,6.2,6.25,18.75,3.12,50.0,18.8,1.562
"INSTANT OATMEAL CEREAL, MAPLE & BROWN SUGAR, MAPLE & BROWN SUGAR",34.0,70.59,0.0,353.0,8.8,11.76,11.76,5.88,176.0,0.0,1.176
"INSTANT OEATMEAL, APPLES & CINNAMON, APPLES & CINNAMON",31.0,74.19,0.0,355.0,9.7,9.68,19.35,4.84,129.0,0.0,1.29
"FOOD LION, TASTEEOS CEREAL",28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
"TASTEEOS, TOASTED WHOLE GRAIN OAT CEREAL",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"ORIGINAL TOASTED OATS TOASTED WHOLE GRAIN OAT CEREAL, ORIGINAL TOASTED OATS",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"RICE SQUARES TOASTED RICE CEREAL, RICE SQUARES",27.0,85.19,0.0,370.0,0.0,7.41,7.41,0.0,30.0,22.2,1.852
TOASTED WHOLE GRAIN OATS CEREAL,28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"PRICE RITE, TOASTED OATS CEREAL",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"HILL COUNTRY FARE, RAISIN BRAN",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
WHEAT FLAKES CEREAL,38.0,81.58,0.0,368.0,10.5,7.89,13.16,2.63,63.0,39.5,1.316
"HANNAFORD, TASTEEOS ROASTED WHOLE GRAIN OAT CEREAT",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"HANNAFORD, MULTIGRAIN TASTEEOS, LIGHTLY SWEETENED MULTIGRAIN CEREAL",29.0,79.31,0.0,379.0,10.3,6.9,20.69,3.45,83.0,20.7,1.724
FROSTED SHREDDED WHEAT CEREAL,55.0,87.27,0.0,364.0,10.9,7.27,20.0,1.82,73.0,0.0,0.909
"HANNAFORD, RAISIN BRAN CEREAL",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
CRISPY TOASTED RICE CEREAL,39.0,87.18,0.0,385.0,0.0,7.69,10.26,0.0,21.0,38.5,1.282
TOASTED OATS CEREAL,41.0,75.61,0.0,390.0,7.3,9.76,4.88,6.1,0.0,14.6,1.22
"RICE SQUARES TOASTED RICE CEREAL, RICE SQUARES",41.0,85.37,0.0,366.0,2.4,7.32,7.32,0.0,20.0,14.6,1.22
"SPRINGFIELD, RAISIN BRAN",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
TOASTED OATS CEREAL,28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
BRAN FLAKES,29.0,82.76,0.0,379.0,17.2,10.34,17.24,1.72,207.0,20.7,1.724
"KIGGINS, COCOA DIAMONDS, SWEETENED RICE CEREAL",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
"OUR FAMILY, RAISIN BRAN CEREAL",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
TOASTED WHOLE GRAIN OAT CEREAL,28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"STEEL CUT INSTANT OATMEAL, ORIGINAL",45.0,68.89,0.0,378.0,11.1,13.33,2.22,7.78,0.0,0.0,0.667
"MAPLE BROWN SUGAR QUICK & EASY STEEL CUT IRISH OATMEAL, MAPLE BROWN SUGAR",54.0,75.93,0.0,370.0,5.6,5.56,33.33,3.7,74.0,0.0,0.741
"CRUNCHY HONEY OATS FLAVORED LIGHTLY SWEETENED CORN & WHEAT FLAKES CEREAL WITH OAT CLUSTERS & HONEY CEREAL, CRUNCHY HONEY OATS",30.0,83.33,0.0,400.0,6.7,6.67,20.0,5.0,80.0,20.0,1.667
GRANOLA CEREAL WITH RAISINS,55.0,81.82,0.0,400.0,5.5,7.27,27.27,4.55,73.0,0.0,3.636
"LAURA LYNN, RAISIN BRAN",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
WHEAT BRAN CEREAL LOADED WITH RAISINS,56.0,80.36,0.0,375.0,12.5,7.14,32.14,1.79,143.0,10.7,0.893
"BROOKSHIRE'S, RICE CEREAL",33.0,87.88,0.0,394.0,0.0,9.09,12.12,0.0,24.0,45.5,1.515
"BROOKSHIRE'S, INSTANT OATMEAL, APPLE CINNMON",35.0,77.14,0.0,371.0,8.6,8.57,34.29,4.29,91.0,0.0,1.143
"INSTANT OATMEAL, CINNAMON ROLL",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
SHREDDED WHEAT CEREAL,50.0,80.0,0.0,340.0,12.0,12.0,0.0,2.0,120.0,0.0,0.0
"INSTANT OATMEAL, MAPLE & BROWN SUGAR",43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"INSTANT OATMEAL, ORIGINAL",28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
VEGANIC SPROUTED ANCIENT GRAIN FLAKES,30.0,73.33,0.0,367.0,6.7,10.0,6.67,1.67,53.0,0.0,0.267
"BRAN AND WHOLE GRAIN WHEAT FLAKES, BRAN AND WHOLE GRAIN",29.0,82.76,0.0,379.0,17.2,10.34,17.24,1.72,207.0,20.7,1.724
"TOASTED OATS WHOLE GRAIN OAT CEREAL, TOASTED OATS",30.0,73.33,0.0,400.0,10.0,13.33,0.0,6.67,107.0,20.0,1.667
"APPLE CRUNCHIES FLAVORED SWEETENED MULTI-GRAIN CEREAL, APPLE CRUNCHIES",33.0,87.88,0.0,394.0,3.0,3.03,45.45,3.03,24.0,18.2,1.515
NUTTY NUGGETS CRUNCHY WHEAT AND BARLEY CEREAL,58.0,82.76,0.0,345.0,12.1,8.62,8.62,1.72,103.0,0.0,0.862
"SUNNY SELECT, RAISIN BRAN CEREAL",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
"NATURE'S PLACE, PUMPKIN FLAXSEED GRANOLA",52.0,65.38,0.0,442.0,7.7,11.54,19.23,17.31,115.0,0.0,0.077
ORGANIC FRUIT & NUT MEDLEY GRANOLA,56.0,58.93,0.0,464.0,8.9,10.71,21.43,23.21,107.0,0.0,0.143
RAISIN BRAN CEREAL,59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
"LOWES FOODS, WHEAT AND BRAN CEREAL WITH RAISINS",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
"AMERICA'S CHOICE, SWEETENED RICE CEREA MADE WITH REAL COCOA, COCOA BITES",32.0,84.38,0.0,406.0,0.0,6.25,37.5,6.25,25.0,18.8,1.562
ROASTABLES RAD LITTLE REDS POTATOES WITH MONTANA MEX SEASONING SALT,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"BIG Y, WHITE POTATOES",148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"BIG Y, IDAHO POTATOES",148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
IDAHO POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
CALIFORNIA WHITE POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
WHITE POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
BABY SPINACH,142.0,3.52,0.0,25.0,2.1,2.82,0.7,0.35,85.0,29.6,0.211
WHITE POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
ORGANIC SUPER GREENS,142.0,4.93,0.0,28.0,2.1,2.82,1.41,0.35,70.0,46.5,0.141
ORGANIC SUPER GREENS,85.0,4.71,0.0,29.0,2.4,2.35,1.18,0.0,71.0,42.4,0.188
SUPER GREENS,85.0,4.71,0.0,29.0,2.4,2.35,1.18,0.0,71.0,42.4,0.188
RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
IDAHO RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
RED POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
RED POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"BROOKSHIRE'S, YUKON GOLD POTATOES",148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"FROZEN DAIRY DESSERT, SPRING STRAWBERRY, SPRING STRAWBERRY",103.0,22.33,15.0,160.0,1.9,5.83,18.45,5.83,78.0,26.2,0.583
"FROZEN DAIRY DESSERT, TROPICAL MANGO, TROPICAL MANGO",103.0,22.33,15.0,160.0,1.9,5.83,18.45,5.83,78.0,26.2,0.583
"PROTEIN RICH NUTRITION BAR, PROTEIN RICH",35.0,51.43,0.0,400.0,2.9,17.14,40.0,14.29,343.0,17.1,1.714
"CHOCOLATE CHIP PEANUT CRUNCH ENERGY BAR, CHOCOLATE CHIP PEANUT CRUNCH",68.0,60.29,0.0,382.0,5.9,14.71,29.41,10.29,118.0,5.3,0.294
"CRUNCHY PEANUT BUTTER ENERGY BAR, CRUNCHY PEANUT BUTTER",68.0,60.29,0.0,368.0,5.9,16.18,30.88,8.82,88.0,79.4,0.588
"NUTCRACKER, DRY ROASTED SALTED PEANUTS",28.0,21.43,0.0,571.0,7.1,25.0,3.57,50.0,143.0,0.0,0.286
"ESSENTIAL EVERYDAY, MEUSLI, MULTI GRAIN CEREAL WITH RAISINS, DATES & ALMONDS",55.0,74.55,0.0,382.0,7.3,9.09,21.82,5.45,73.0,21.8,3.636
"GOOD EATS, KICKIN' VEGETARIAN CHILI",250.0,14.8,0.0,92.0,4.0,4.0,1.6,1.8,48.0,7.2,0.12
"GOOD EATS, KICKIN' TURKEY CHILI WITH BEANS",254.0,12.6,12.0,102.0,3.9,6.3,1.57,3.15,39.0,5.9,0.157
"STONEBANK BAKING CO, LO CARB MADE WITH OAT & WHEAT BRAN",30.0,23.33,0.0,267.0,6.7,23.33,0.0,10.0,80.0,0.0,0.133
"SOTNEBANK BAKING CO., BREAD MADE WITH OAT & WHEAT BRAN",23.0,17.39,0.0,196.0,4.3,21.74,0.0,6.52,70.0,0.0,0.174
"REAL ICE CREAM, CHOCOLATE, CHOCOLATE",97.0,24.74,41.0,196.0,4.1,7.22,19.59,10.31,82.0,21.6,0.309
"REAL ICE CREAM, SALTED CARAMEL, SALTED CARAMEL",97.0,29.9,36.0,206.0,4.1,6.19,23.71,8.25,82.0,21.6,0.309
"REAL ICE CREAM, CREAMY VANILLA, CREAMY VANILLA",97.0,25.77,46.0,206.0,4.1,6.19,20.62,9.28,82.0,21.6,0.309
"REAL ICE CREAM, BUTTERED PECAN",97.0,23.71,36.0,237.0,5.2,7.22,18.56,14.43,82.0,21.6,0.309
"ICE CREAM, SALTED CARAMEL",83.0,22.89,24.0,145.0,6.0,7.23,1.2,6.02,72.0,25.3,0.361
"REAL ICE CREAM, CHOCOLATE, CHOCOLATE",83.0,19.28,24.0,133.0,6.0,7.23,1.2,6.02,72.0,25.3,0.361
"CARLA LEE'S NUT BURGERS, NUT BURGER PATTIES, THAI COCONUT, THAI COCONUT",99.0,26.26,0.0,313.0,4.0,9.09,3.03,20.2,141.0,4.8,0.404
"MAIKA, GREEN PEAS VEGGIE BURGERS",70.0,17.14,0.0,186.0,4.3,2.86,2.86,12.86,23.0,12.9,0.114
"PEANUT BUTTER SPREAD, CREAMY",32.0,34.38,0.0,562.0,3.1,21.88,15.62,37.5,188.0,0.0,0.375
CREAMY PEANUT SPREAD,32.0,37.5,0.0,531.0,6.2,21.88,18.75,34.38,188.0,0.0,0.375
LIGHTLY SALTED CASHEW,28.0,28.57,0.0,571.0,3.6,17.86,7.14,46.43,286.0,0.0,0.0
REDUCED FAT CREAMY PEANUT SPREAD,32.0,37.5,0.0,531.0,6.2,21.88,18.75,34.38,188.0,0.0,0.375
"FROZEN DAIRY DESERT, VANILLA-CARAMEL",100.0,21.0,20.0,170.0,2.0,6.0,18.0,7.0,80.0,27.0,0.6
"PEANUT BUTTER PRETZEL MEAL REPLACEMENT BARS, PEANUT BUTTER PRETZEL",100.0,47.0,5.0,410.0,3.0,30.0,28.0,12.0,90.0,19.0,0.64
"CHOCOLATE CHIP COOKIE DOUGH BAR, CHOCOLATE CHIP",100.0,45.0,30.0,410.0,1.0,30.0,18.0,12.0,25.0,18.0,0.34
"CHOCOLATE CHIP ENERGY BARS, CHOCOLATE CHIP",68.0,66.18,0.0,368.0,5.9,13.24,30.88,7.35,118.0,5.3,0.294
MILK CHOCOLATE NACADAMIA NUT ENERGY BAR,68.0,58.82,0.0,368.0,7.4,13.24,30.88,10.29,59.0,44.1,0.441
ORGANIC GOOD SEED ROCK 'N' ROLLS,43.0,51.16,0.0,302.0,7.0,9.3,13.95,6.98,74.0,0.0,0.093
"GET FOCUSED! WAKE UP WITH A BLEND OF CAGE-FREE EGGS, FRESH KALE, FARRO, SMOKED GOUDA, & OUR SAVORY GROUNDS POIGNANTLY SEASONED WITH ROSEMARY & FENNEL FUNCTIONAL BREAKFAST BURRITO, GET FOCUSED!",170.0,20.0,50.0,176.0,4.1,10.59,1.18,7.65,35.0,10.6,0.176
"FRUIT & GRAIN CEREAL BARS, STRAWBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"BALANCED NUTRITION BAR, FUDGE GRAHAM",45.0,51.11,11.0,422.0,6.7,26.67,33.33,11.11,18.0,26.7,1.111
"LOW FAT FRUIT & GRAIN CEREAL BAR, STRAWBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"CHOCOLATE CHIP PEANUT CRUNCH ENERGY BARS, CHOCOLATE CHIP PEANUT CRUNCH",68.0,60.29,0.0,368.0,5.9,14.71,29.41,10.29,88.0,79.4,0.588
"BLUEBERRY CRISP ENERGY BARS, BLUEBERRY CRISP",68.0,63.24,0.0,368.0,7.4,14.71,30.88,7.35,88.0,79.4,0.588
CHOCOLATE DIPPED COCONUT,48.0,52.08,0.0,396.0,6.2,18.75,22.92,14.58,83.0,25.0,3.333
"CHOCOLATE PROTEIN BARS, CHOCOLATE",68.0,42.65,0.0,397.0,2.9,29.41,30.88,13.24,88.0,44.1,0.735
"BAR, CHOCOLATE, PEANUT BUTTER",50.0,32.0,20.0,400.0,2.0,40.0,4.0,12.0,32.0,30.0,1.0
CHEWY CHOCOLATE CHIP BAR,50.0,36.0,30.0,400.0,4.0,40.0,6.0,10.0,16.0,24.0,0.8
"CHOCOLATE ALMOND BROWNIE PROTEIN & FIBER BARS, CHOCOLATE ALMOND BROWNIE",40.0,47.5,0.0,375.0,12.5,25.0,12.5,15.0,200.0,15.0,0.5
"SALTED CARAMEL PROTEIN & FIBER BARS, SALTED CARAMEL",40.0,50.0,0.0,375.0,12.5,25.0,12.5,12.5,150.0,15.0,0.5
"DARK CHOCOLATE PEPPERMINT PROTEIN & FIBER BARS, DARK CHOCOLATE PEPPERMINT",40.0,47.5,0.0,375.0,12.5,25.0,12.5,12.5,150.0,15.0,0.5
"CUPCAKE BATTER PROTEIN & FIBER BARS, CUPCAKE BATTER",40.0,50.0,0.0,375.0,12.5,25.0,12.5,12.5,150.0,15.0,0.5
"PROTEIN BAR, CREAMY PEANUT BUTTER CRISP",85.0,38.82,0.0,353.0,2.4,34.12,3.53,11.76,71.0,21.2,0.824
"PEANUT BUTTA PRO, MILK CHOCOLATE",42.0,45.24,12.0,452.0,2.4,23.81,40.48,19.05,143.0,35.7,1.19
"NATURAL PROTEIN & FIBER GLUTEN FREE PANCAKE + WAFFLE MIX, PANCAKE + WAFFLE",50.0,50.0,0.0,460.0,8.0,18.0,14.0,24.0,200.0,0.0,0.8
CAROB CHIP BAR,71.0,39.44,14.0,465.0,7.0,22.54,26.76,25.35,113.0,1.7,0.282
ALMOND ACAI BAR,45.0,42.22,11.0,444.0,6.7,15.56,28.89,24.44,133.0,0.0,0.089
"MIXED NUTS CARAMEL & SEA SALT BARS WITH RAW SUPERFOODS, MIXED NUTS CARAMEL & SEA SALT",46.0,43.48,0.0,413.0,21.7,21.74,10.87,26.09,130.0,0.0,0.087
"ROASTED AND SALTED WITH SEA SALT CALIFORNIA PISTACHIOS, ROASTED AND SALTED WITH SEA SALT",28.0,28.57,0.0,571.0,10.7,21.43,7.14,46.43,114.0,4.3,1.071
"BEYOND BETTER, CASHEW SAUCE & DIP MIX, SPICY QUESO, SPICY QUESO",28.0,50.0,0.0,500.0,17.9,21.43,7.14,28.57,214.0,0.0,4.286
"BEYOND BETTER, ORIGINAL CASHEW SAUCE & DIP MIX",28.0,50.0,0.0,500.0,17.9,21.43,7.14,28.57,214.0,0.0,4.286
"BEYOND BETTER, SAVORY SUNFLOWER SAUCE & DIP MIX",28.0,42.86,0.0,536.0,21.4,21.43,7.14,32.14,214.0,4.3,5.0
"EVERBAR, BLUEBERRY CASHEW BAR",60.0,31.67,0.0,400.0,11.7,20.0,16.67,21.67,500.0,0.0,0.667
"BRIGHT GREENS, SMOOTHIE SHAKES, MINTERGREEN",198.0,10.1,0.0,45.0,2.0,1.01,7.58,0.0,20.0,33.3,0.081
"CREAMY PEANUT BUTTER SPREAD, CREAMY",34.0,41.18,0.0,529.0,5.9,20.59,11.76,35.29,176.0,0.0,0.353
"HONEY NUT TOASTED OATS SWEETENED TOASTED OAT CEREAL WITH HONEY & ALMONDS, HONEY NUT TOASTED OATS",40.0,85.0,0.0,375.0,7.5,7.5,32.5,1.25,75.0,25.0,1.5
RAISIN BRAN WHOLE GRAIN WHEAT AND WHEAT BRAN WITH RAISINS,59.0,79.66,0.0,339.0,10.2,8.47,33.9,1.69,136.0,0.0,0.847
CEREAL,59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
FROSTED SHREDDED WHEAT CEREAL,52.0,80.77,0.0,346.0,9.6,7.69,21.15,1.92,77.0,0.0,0.962
"WHEAT FLAKES WHOLE GRAIN WHEAT CEREAL, WHEAT FLAKES",30.0,83.33,0.0,400.0,10.0,10.0,13.33,1.67,80.0,50.0,1.667
TOASTED CRISPY RICE CEREAL,33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
TOASTED OAT CEREAL,28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"HONEY STINGER, MILK CHOCOLATE PEANUT BUTTA PRO",42.0,45.24,12.0,452.0,2.4,23.81,40.48,19.05,143.0,35.7,1.19
RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
ORGANIC THIN SKIN POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"UNSALTED WHOLE CASHEWS, UNSALTED",28.0,28.57,0.0,571.0,3.6,17.86,3.57,46.43,286.0,0.0,0.286
"UNSALTED DRY ROASTED PEANUTS, UNSALTED",28.0,21.43,0.0,571.0,7.1,25.0,3.57,50.0,143.0,0.0,0.286
LIGHTLY SALTED PARTY PEANUTS,28.0,17.86,0.0,571.0,7.1,25.0,3.57,50.0,214.0,0.0,0.286
ROASTED & SALTED SUNFLOWER KERNELS,30.0,23.33,0.0,600.0,10.0,20.0,3.33,50.0,133.0,0.0,0.667
DRY ROASTED PEANUTS,28.0,21.43,0.0,571.0,7.1,21.43,3.57,46.43,143.0,0.0,0.286
DRY ROASTED UNSALTED PEANUTS,28.0,21.43,0.0,571.0,7.1,25.0,3.57,50.0,143.0,0.0,0.286
DRY ROASTED PEANUTS,28.0,21.43,0.0,571.0,7.1,21.43,3.57,46.43,143.0,0.0,0.286
BUTTER TOFFEE PEANUTS,28.0,60.71,0.0,464.0,3.6,10.71,53.57,25.0,86.0,0.0,0.0
"PARTY PEANUTS, SALTED",28.0,17.86,0.0,571.0,7.1,25.0,3.57,50.0,214.0,0.0,0.286
DRY ROASTED PEANUTS,28.0,21.43,0.0,571.0,7.1,21.43,3.57,46.43,143.0,0.0,0.286
HONEY ROASTED PEANUTS,28.0,28.57,0.0,536.0,7.1,21.43,14.29,42.86,143.0,0.0,0.286
ROASTED SALTED ALMONDS,28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
ALMONDS,28.0,21.43,0.0,571.0,10.7,21.43,3.57,50.0,286.0,0.0,0.0
HONEY ROASTED ALMONDS,28.0,25.0,0.0,571.0,10.7,17.86,14.29,46.43,214.0,0.0,0.0
WASABI SOY ALMONDS,28.0,21.43,0.0,607.0,10.7,17.86,7.14,53.57,214.0,0.0,0.0
SMOKED ALMONDS,28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
"ALMONDS, CHILI LIME",28.0,21.43,0.0,607.0,10.7,17.86,3.57,53.57,214.0,0.0,0.0
HALVES & PIECES SALTED CASHEWS,28.0,28.57,0.0,571.0,3.6,17.86,3.57,46.43,286.0,0.0,0.0
WHOLE LIGHTLY SALTED CASHEWS,28.0,28.57,0.0,571.0,3.6,17.86,7.14,46.43,286.0,0.0,0.0
DELUXE SALTED MIXED NUTS,28.0,21.43,0.0,607.0,7.1,17.86,3.57,53.57,214.0,0.0,0.0
DELUXE LIGHTLY SALTED MIXED NUTS,28.0,21.43,0.0,607.0,7.1,17.86,3.57,53.57,214.0,0.0,0.0
SALTED MIXED NUTS,28.0,17.86,0.0,571.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
"WHOLE CASHEW & ALMOND MIX, SALTED",28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
ROASTED SALTED PISTACHIOS,28.0,28.57,0.0,571.0,10.7,21.43,7.14,46.43,114.0,0.0,1.071
DRY ROASTED SUNFLOWER KERNELS,28.0,25.0,0.0,571.0,10.7,17.86,3.57,46.43,114.0,0.0,0.714
"FRUIT & GRAIN CEREAL BARS, STRAWBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"REDUCED FAT ORIGINAL KETTLE CHIPS, ORIGINAL",28.0,71.43,0.0,464.0,3.6,7.14,7.14,17.86,86.0,42.9,1.071
KALE GREAT GREENS SALAD KIT,128.0,17.97,12.0,211.0,4.7,8.59,8.59,13.28,25.0,32.8,0.094
"HONEY STINGER, ENERGY BAR, BERRY BANANA BUZZ, BERRY BANANA BUZZ",50.0,56.0,0.0,360.0,4.0,10.0,44.0,8.0,120.0,30.0,1.0
"HONEY STINGER, ENERGY BAR, BLUEBERRY BUZZ, BLUEBERRY BUZZ",50.0,60.0,0.0,340.0,4.0,10.0,40.0,10.0,120.0,30.0,1.0
"HONEY STINGER, ROCKET CHOCOLATE ENERGY BAR",50.0,56.0,0.0,380.0,4.0,10.0,36.0,10.0,120.0,30.0,1.0
"DARK CHOCOLATE PRO, COCONUT ALMOND",42.0,42.86,10.0,452.0,4.8,23.81,35.71,23.81,95.0,21.4,0.714
DARK CHOCOLATE CHERRY ALMOND PRO,42.0,45.24,10.0,429.0,4.8,23.81,38.1,19.05,95.0,21.4,0.714
DARK CHOCOLATE,42.0,45.24,12.0,429.0,4.8,23.81,38.1,19.05,95.0,21.4,0.714
HALVES WITH PIECES CASHEWS,28.0,28.57,0.0,571.0,3.6,17.86,3.57,46.43,286.0,0.0,0.0
WHOLE CASHEWS,28.0,28.57,0.0,571.0,3.6,17.86,7.14,46.43,286.0,0.0,0.0
LIGHTLY SALTED MIXED NUTS,28.0,17.86,0.0,607.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
MIXED NUTS,28.0,17.86,0.0,571.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
ROASTED & SALTED ALMONDS,28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
SMOKED FLAVORED ALMONDS,28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
WHOLE CASHEWS,28.0,28.57,0.0,571.0,3.6,17.86,7.14,46.43,214.0,0.0,0.0
NATURAL ALMONDS,28.0,21.43,0.0,571.0,10.7,21.43,3.57,50.0,286.0,0.0,0.0
RAW HAND-CRACKED WHOLE CASHEWS,28.0,32.14,0.0,554.0,3.6,17.86,7.14,42.86,286.0,0.0,0.429
SHELLED ALMONDS,28.0,21.43,0.0,575.0,10.7,21.43,3.57,50.0,271.0,0.0,0.143
RAW ORGANIC HEIRLOOM PUMPKIN SEEDS,28.0,10.71,0.0,561.0,3.6,28.57,3.57,46.43,600.0,2.1,0.143
GOURMET KETTLE CORN,28.0,50.0,18.0,571.0,7.1,10.71,7.14,35.71,86.0,0.0,0.286
"PREMIUM ICE CREAM, SALTED CARAMEL CUPS",152.0,30.26,23.0,191.0,2.0,5.92,21.05,5.92,66.0,19.7,0.329
RIPPLED POTATO CHIPS,28.0,53.57,0.0,571.0,3.6,3.57,3.57,39.29,57.0,32.1,0.714
CHOCOLATE PEANUT BUTTER BARS,45.0,40.0,11.0,400.0,11.1,26.67,13.33,17.78,222.0,133.3,1.111
"MORNING PROTEIN BAR, VANILLA,ALMOND",47.0,44.68,11.0,383.0,6.4,31.91,25.53,10.64,128.0,0.0,1.277
"CHOCOLATE HAZELNUT PROTEIN BARS, CHOCOLATE HAZELNUT",68.0,41.18,0.0,412.0,4.4,29.41,29.41,14.71,88.0,44.1,0.735
PROTEIN SNACK MINI BAR,25.0,32.0,20.0,360.0,4.0,40.0,4.0,8.0,64.0,24.0,0.8
"HONEY DRIZZLE PEANUT CHOCOLATE DIPPED PROTEIN & FIBER BARS, HONEY DRIZZLE PEANUT",40.0,50.0,0.0,375.0,12.5,25.0,12.5,15.0,150.0,15.0,0.5
